Date;Open;High;Low;Close;Volume
29/10/2013 17:00:00;1,6131;1,6137;1,6016;1,6042;91594
30/10/2013 17:00:00;1,6045;1,6073;1,5992;1,6028;89496
31/10/2013 17:00:00;1,6022;1,6064;1,6;1,6037;102547
01/11/2013 17:00:00;1,6038;1,6042;1,5903;1,5916;103456
04/11/2013 16:00:00;1,592;1,5975;1,5897;1,5966;62123
05/11/2013 16:00:00;1,5961;1,6059;1,5944;1,6038;102232
06/11/2013 16:00:00;1,604;1,6114;1,6038;1,6076;71462
07/11/2013 16:00:00;1,6074;1,6111;1,6005;1,609;123164
08/11/2013 16:00:00;1,6093;1,6102;1,5953;1,6015;112892
11/11/2013 16:00:00;1,6006;1,6018;1,5961;1,5985;50742
12/11/2013 16:00:00;1,5985;1,5988;1,585;1,59;101391
13/11/2013 16:00:00;1,5893;1,6063;1,5875;1,6055;126146
14/11/2013 16:00:00;1,6041;1,6099;1,5984;1,6065;98927
15/11/2013 16:00:00;1,6061;1,6132;1,6042;1,6112;80830
18/11/2013 16:00:00;1,6115;1,6146;1,6079;1,6106;62679
19/11/2013 16:00:00;1,6109;1,613;1,6056;1,6119;73901
20/11/2013 16:00:00;1,6111;1,6175;1,6083;1,6102;119982
21/11/2013 16:00:00;1,6096;1,6199;1,607;1,6197;101733
22/11/2013 16:00:00;1,6191;1,6224;1,6174;1,6223;67408
25/11/2013 16:00:00;1,623;1,6238;1,6131;1,6153;71528
26/11/2013 16:00:00;1,6159;1,6218;1,6137;1,6213;79178
27/11/2013 16:00:00;1,6211;1,6329;1,6195;1,6285;118228
28/11/2013 16:00:00;1,6286;1,6357;1,6274;1,633;43682
29/11/2013 16:00:00;1,6333;1,6383;1,6312;1,636;63628
02/12/2013 16:00:00;1,637;1,6442;1,6342;1,6356;123491
03/12/2013 16:00:00;1,6353;1,6436;1,6346;1,6389;76975
04/12/2013 16:00:00;1,6386;1,6403;1,6325;1,6383;106240
05/12/2013 16:00:00;1,6381;1,6403;1,6298;1,6338;107750
06/12/2013 16:00:00;1,6339;1,6394;1,6292;1,6346;106413
09/12/2013 16:00:00;1,6344;1,6433;1,6323;1,6428;63986
10/12/2013 16:00:00;1,642;1,6465;1,6418;1,6445;68662
11/12/2013 16:00:00;1,6448;1,6457;1,6338;1,6376;84378
12/12/2013 16:00:00;1,6366;1,6408;1,6311;1,6338;32360
13/12/2013 16:00:00;1,6334;1,6351;1,6252;1,6286;71909
16/12/2013 16:00:00;1,6293;1,6339;1,6279;1,6286;71568
17/12/2013 16:00:00;1,6288;1,6326;1,6203;1,6253;81836
18/12/2013 16:00:00;1,6262;1,6476;1,626;1,6379;142631
19/12/2013 16:00:00;1,6374;1,6386;1,6326;1,636;70355
20/12/2013 16:00:00;1,6357;1,6386;1,6305;1,6322;75264
23/12/2013 16:00:00;1,6322;1,6367;1,6315;1,635;44834
24/12/2013 16:00:00;1,6338;1,6375;1,6314;1,6361;23721
26/12/2013 16:00:00;1,637;1,6431;1,6367;1,6402;20778
27/12/2013 16:00:00;1,6407;1,657;1,6399;1,6476;76387
